,episode_id,url,show_id,show_name,episode_name,season_n,episode_n,type_ep,airstamp,runtime,average_rating,show_type,show_language,show_genres,show_status,showed_in
0,2759405,https://www.tvmaze.com/episodes/2759405/a-seba-znau-5x01-igor-dzabrailov,47865,Я СЕБЯ ЗНАЮ!,Игорь Джабраилов,5,1,regular,2024-01-31T00:00:00+00:00,86.0,,Talk Show,Russian,['Comedy'],Running,VK Видео
1,2743334,https://www.tvmaze.com/episodes/2743334/frendzona-2x01-seria-1,59613,Френдзона,Серия 1,2,1,regular,2024-01-31T00:00:00+00:00,26.0,,Scripted,Russian,[],Running,Start
2,2760318,https://www.tvmaze.com/episodes/2760318/frendzona-2x02-seria-2,59613,Френдзона,Серия 2,2,2,regular,2024-01-31T00:00:00+00:00,23.0,,Scripted,Russian,[],Running,Start
3,2760319,https://www.tvmaze.com/episodes/2760319/frendzona-2x03-seria-3,59613,Френдзона,Серия 3,2,3,regular,2024-01-31T00:00:00+00:00,25.0,,Scripted,Russian,[],Running,Start
4,2693705,https://www.tvmaze.com/episodes/2693705/offlajn-2x09-seria-9,61191,Оффлайн,Серия 9,2,9,regular,2024-01-31T00:00:00+00:00,,,Scripted,Russian,"['Drama', 'Crime', 'Thriller']",Ended,Okko
5,2797541,https://www.tvmaze.com/episodes/2797541/rasskazy-iz-russkoj-istorii-4x16-vrema-romanovyh-cast-1,64306,Рассказы из русской истории,Время Романовых (часть 1),4,16,regular,2024-01-31T00:00:00+00:00,25.0,,Documentary,Russian,[],Running,Смотрим
6,2746163,https://www.tvmaze.com/episodes/2746163/peerless-martial-spirit-6x05-episode-345,67532,Peerless Martial Spirit,Episode 345,6,5,regular,2024-01-31T02:00:00+00:00,10.0,,Animation,Chinese,"['Action', 'Adventure', 'Fantasy']",Running,Tencent QQ
7,2697939,https://www.tvmaze.com/episodes/2697939/shrouding-the-heavens-1x42-episode-42,68583,Shrouding the Heavens,Episode 42,1,42,regular,2024-01-31T02:00:00+00:00,21.0,,Animation,Chinese,"['Action', 'Adventure', 'Science-Fiction']",Running,Tencent QQ
8,2750926,https://www.tvmaze.com/episodes/2750926/indulgence-1x19-episode-19,74228,Indulgence,Episode 19,1,19,regular,2024-01-31T02:00:00+00:00,10.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Youku
9,2750927,https://www.tvmaze.com/episodes/2750927/indulgence-1x20-episode-20,74228,Indulgence,Episode 20,1,20,regular,2024-01-31T02:00:00+00:00,10.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Youku
10,2758857,https://www.tvmaze.com/episodes/2758857/otherworldly-evil-monarch-1x03-episode-3,74352,Otherworldly Evil Monarch,Episode 3,1,3,regular,2024-01-31T02:00:00+00:00,24.0,,Animation,Chinese,"['Action', 'Adventure', 'Anime', 'Fantasy']",Running,Bilibili
11,2751664,https://www.tvmaze.com/episodes/2751664/love-for-loves-sake-1x05-episode-5,73942,Love for Love's Sake,Episode 5,1,5,regular,2024-01-31T03:00:00+00:00,37.0,9.0,Scripted,Korean,['Romance'],Ended,Heavenly
12,2751665,https://www.tvmaze.com/episodes/2751665/love-for-loves-sake-1x06-episode-6,73942,Love for Love's Sake,Episode 6,1,6,regular,2024-01-31T03:00:00+00:00,31.0,9.0,Scripted,Korean,['Romance'],Ended,Heavenly
13,2825841,https://www.tvmaze.com/episodes/2825841/klassen-7x35-klassekvissen,55919,Klassen,Klassekvissen,7,35,regular,2024-01-31T04:00:00+00:00,11.0,,Scripted,Norwegian,"['Drama', 'Comedy', 'Children']",Running,NRK TV
14,2739390,https://www.tvmaze.com/episodes/2739390/shaonian-ge-xing-3x16-episode-16,58065,Shaonian Ge Xing,Episode 16,3,16,regular,2024-01-31T04:00:00+00:00,20.0,,Animation,Chinese,['Anime'],Running,Bilibili
15,2758769,https://www.tvmaze.com/episodes/2758769/the-happy-seven-in-changan-1x05-episode-5,71195,The Happy Seven in Changan,Episode 5,1,5,regular,2024-01-31T04:00:00+00:00,45.0,,Scripted,Chinese,"['Drama', 'Comedy', 'Romance']",Ended,Tencent QQ
16,2734417,https://www.tvmaze.com/episodes/2734417/shi-shi-chuanshuo-1x21-episode-21,73183,Shi Shi Chuanshuo,Episode 21,1,21,regular,2024-01-31T04:00:00+00:00,12.0,,Animation,Chinese,"['Action', 'Adventure', 'Science-Fiction']",Running,Tencent QQ
17,2739786,https://www.tvmaze.com/episodes/2739786/different-princess-1x29-episode-29,73931,Different Princess,Episode 29,1,29,regular,2024-01-31T04:00:00+00:00,40.0,,Scripted,Chinese,"['Drama', 'Fantasy', 'Romance']",Ended,Youku
18,2739787,https://www.tvmaze.com/episodes/2739787/different-princess-1x30-episode-30,73931,Different Princess,Episode 30,1,30,regular,2024-01-31T04:00:00+00:00,40.0,,Scripted,Chinese,"['Drama', 'Fantasy', 'Romance']",Ended,Youku
19,2750764,https://www.tvmaze.com/episodes/2750764/thousands-of-years-of-love-1x14-episode-14,74098,Thousands of Years of Love,Episode 14,1,14,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
20,2747888,https://www.tvmaze.com/episodes/2747888/small-town-stories-1x27-episode-27,74100,Small Town Stories,Episode 27,1,27,regular,2024-01-31T04:00:00+00:00,45.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Shaanxi Satellite TV
21,2747889,https://www.tvmaze.com/episodes/2747889/small-town-stories-1x28-episode-28,74100,Small Town Stories,Episode 28,1,28,regular,2024-01-31T04:00:00+00:00,45.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Shaanxi Satellite TV
22,2751659,https://www.tvmaze.com/episodes/2751659/all-i-see-is-you-1x21-episode-21,74238,All I See is You,Episode 21,1,21,regular,2024-01-31T04:00:00+00:00,8.0,,Scripted,Chinese,"['Drama', 'Fantasy', 'Romance']",Ended,Tencent QQ
23,2751660,https://www.tvmaze.com/episodes/2751660/all-i-see-is-you-1x22-episode-22,74238,All I See is You,Episode 22,1,22,regular,2024-01-31T04:00:00+00:00,7.0,,Scripted,Chinese,"['Drama', 'Fantasy', 'Romance']",Ended,Tencent QQ
24,2755632,https://www.tvmaze.com/episodes/2755632/sweet-trap-1x07-episode-7,74239,Sweet Trap,Episode 7,1,7,regular,2024-01-31T04:00:00+00:00,40.0,,Scripted,Chinese,"['Food', 'Romance']",Ended,Tencent QQ
25,2751800,https://www.tvmaze.com/episodes/2751800/it-doesnt-matter-if-you-dont-know-the-plot-1x09-episode-9,74260,It Doesn't Matter If You Don't Know The Plot,Episode 9,1,9,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Fantasy', 'Romance']",Ended,Tencent QQ
26,2759208,https://www.tvmaze.com/episodes/2759208/broken-the-heart-1x01-episode-1,74261,Broken the Heart,Episode 1,1,1,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
27,2759209,https://www.tvmaze.com/episodes/2759209/broken-the-heart-1x02-episode-2,74261,Broken the Heart,Episode 2,1,2,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
